Sales.Id;Sales.date;Sales.price;Sales.property_type;Sales.surface;Sales.longitude;Sales.latitude;Sales.postcodes;Sales.area;Sales.bathrooms;Sales.beds;Sales.ber_id;Sales.parking;Sales.description;Sales.central_heating;Sales.alarm;Sales.gas_heating;Sales.oil_heating;attic.conversion;ensuites;PriceHistory.date0;PriceHistory.price0;PriceHistory.date1;PriceHistory.price1;PriceHistory.date2;PriceHistory.price2;PriceHistory.date3;PriceHistory.price3;PriceHistory.date4;PriceHistory.price4;PriceHistory.date5;PriceHistory.price5;PriceHistory.date6;PriceHistory.price6;PriceHistory.date7;PriceHistory.price7;PriceHistory.date8;PriceHistory.price8;PriceHistory.date9;PriceHistory.price9;PriceHistory.date10;PriceHistory.price10;PriceHistory.date11;PriceHistory.price11;PriceHistory.date12;PriceHistory.price12;PriceHistory.date13;PriceHistory.price13;PriceHistory.date14;PriceHistory.price14;PriceHistory.date15;PriceHistory.price15
248460;"2017-05-16 00:00:00;"160000;"Residential Sale;"129.1;"-8.8950954;"52.1292913;";"Doneraile;"2;"3;"B2;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240787;"2017-03-09 00:00:00;"240000;"Residential Sale;"131.5;"-6.6167244;"53.1310432;";"Dunmanway;"5;"5;"C3;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
247821;"2017-05-05 00:00:00;"227500;"Residential Sale;"131.5;"-9.0305199;"51.5786793;";"Dunmanway;"5;"5;"C3;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
242171;"2017-03-28 00:00:00;"77500;"Residential Sale;"95.0;"-8.4322248;"52.4753067;";"Castlemahon;"1;"3;"D1;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";99000.0;2017-03-22;120000.0;2018-06-23;;;;;;;;;;;;;;;;;;;;;;;;;;;;
245430;"2017-04-21 00:00:00;"120000;"Residential Sale;"31.0;"-8.4399053;"54.6389749;";"Glenties;"2;"3;"D2;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
253129;"2017-06-30 00:00:00;"780000;"Residential Sale;"160.7;"-6.2777586;"53.3230932;"D06 X2T2;"Harold's Cross;"2;"3;"E1;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
242163;"2017-03-28 00:00:00;"230000;"Residential Sale;"106.8;"-8.5871703;"53.3634429;";"Gurteen;"1;"3;"G;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
254712;"2017-06-30 00:00:00;"180000;"Residential Sale;"66.0;"-6.3763274;"53.2851799;"Dublin 24;"Tallaght;"2;"2;"D1;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
256014;"2017-07-20 00:00:00;"426000;"Residential Sale;"116.1;"-8.4932246;"51.815694;";"Schull;"2;"3;"D1;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
254073;"2017-07-13 00:00:00;"202000;"Residential Sale;"92.0;"-8.2737142;"51.9144679;"T45 DT20;"Carrigtwohill;"3;"3;"B3;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
253247;"2017-06-30 00:00:00;"341276;"Residential Sale;"198.2;"-7.09664;"52.29497;";"Mooncoin;"3;"3;"C1;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
